,Carrier Short Name,Means of Transport,Origin Code,Destination Code,iTMS Mode,Currency,Min Price,Max Price,Chargeable Weight Bracket,Cost per 100kg
100697,GEFCO,,99049L  02,A003Q7  04,LTL / GRP / HUB,EUR,0.0,1227.15,>20000_HUB,1227.15
100698,GEFCO,,99049L  02,A003Q7  01,LTL / GRP / HUB,EUR,0.0,1220.29,>20000_HUB,1220.29
100699,GEFCO,,99049L  02,90009K  TH,LTL / GRP / HUB,EUR,0.0,2594.59,>20000_HUB,2594.59
100700,GEFCO,,99049L  02,26805K  01,LTL / GRP / HUB,EUR,0.0,2702.7,>20000_HUB,2702.7
100701,GEFCO,,99049L  02,26805K  04,LTL / GRP / HUB,EUR,0.0,2405.41,>20000_HUB,2405.41
100702,GEFCO,,99049L  02,26697T  01,LTL / GRP / HUB,EUR,0.0,2594.59,>20000_HUB,2594.59
100703,GEFCO,,99049L  02,A003Q7  02,LTL / GRP / HUB,EUR,0.0,1309.6,>20000_HUB,1309.6
100704,GEFCO,,99049L  02,A009KB  02,LTL / GRP / HUB,EUR,0.0,942.8,>20000_HUB,942.8
100705,GEFCO,,99049L  02,A009CN  01,LTL / GRP / HUB,EUR,0.0,1220.29,>20000_HUB,1220.29
100706,GEFCO,,99049L  02,A00AF2  01,LTL / GRP / HUB,EUR,0.0,2439.8,>20000_HUB,2439.8
100707,GEFCO,,99049L  02,A0085W  01,LTL / GRP / HUB,EUR,0.0,5323.86,>20000_HUB,5323.86
100708,GEFCO,,99049L  02,78001H  CA,LTL / GRP / HUB,EUR,0.0,1810.81,>20000_HUB,1810.81
100709,GEFCO,,99049L  02,26846E  DF,LTL / GRP / HUB,EUR,0.0,1567.57,>20000_HUB,1567.57
100710,GEFCO,,99049L  02,78001H  MS,LTL / GRP / HUB,EUR,0.0,1297.3,>20000_HUB,1297.3
100711,GEFCO,,99049L  02,78001H  MU,LTL / GRP / HUB,EUR,0.0,1297.3,>20000_HUB,1297.3
100712,GEFCO,,99049L  02,78001H  PY,LTL / GRP / HUB,EUR,0.0,1801.97,>20000_HUB,1801.97
100713,GEFCO,,99049L  02,78001H  RJ,LTL / GRP / HUB,EUR,0.0,2181.07,>20000_HUB,2181.07
100714,GEFCO,,99049L  02,26859U  06,LTL / GRP / HUB,EUR,0.0,1540.54,>20000_HUB,1540.54
100715,GEFCO,,99049L  02,78001H  SX,LTL / GRP / HUB,EUR,0.0,1496.54,>20000_HUB,1496.54
100716,GEFCO,,99049L  02,78001H  MY,LTL / GRP / HUB,EUR,0.0,5675.68,>20000_HUB,5675.68
100717,GEFCO,,99049L  02,78001H  VA,LTL / GRP / HUB,EUR,0.0,1540.54,>20000_HUB,1540.54
100718,GEFCO,,99049L  02,A00A5Y  01,LTL / GRP / HUB,EUR,0.0,845.93,>20000_HUB,845.93
100719,GEFCO,,99049L  02,A00AU2  02,LTL / GRP / HUB,EUR,0.0,2778.87,>20000_HUB,2778.87
100720,GEFCO,,99049L  02,A009KB  01,LTL / GRP / HUB,EUR,0.0,776.2,>20000_HUB,776.2
100721,ARCESE,,A00GUP  02,26805K  04,LTL / GRP / HUB,EUR,0.0,1710.0,>20000_HUB,1710.0
100722,ARCESE,,A00GUP  02,90009K  TH,LTL / GRP / HUB,EUR,0.0,3030.0,>20000_HUB,3030.0
100723,GEFCO,,99049L  02,26805K  N1,LTL / GRP / HUB,EUR,0.0,2405.41,>20000_HUB,2405.41
100724,GEFCO,,22342J  02,26805K  N1,LTL / GRP / HUB,EUR,0.0,2717.23,>20000_HUB,2717.23
100725,GEFCO,,84648H  06,26805K  N1,LTL / GRP / HUB,EUR,0.0,2500.32,>20000_HUB,2500.32
100726,GEFCO,,84648H  07,26805K  N1,LTL / GRP / HUB,EUR,0.0,2771.17,>20000_HUB,2771.17
100727,GEFCO,,99109B  01,26805K  N1,LTL / GRP / HUB,EUR,0.0,2476.04,>20000_HUB,2476.04
100728,MAROTRANS,,A0085W  01,A00F3Y  02,LTL / GRP / HUB,EUR,0.0,1855.0,>20000_HUB,1855.0
100729,MAROTRANS,,A0085W  01,A00J54  02,LTL / GRP / HUB,EUR,0.0,2100.0,>20000_HUB,2100.0
100730,SESE,,A0085W  01,A00J54  02,LTL / GRP / HUB,EUR,0.0,2313.0,>20000_HUB,2313.0
100731,SESE,,A0085W  01,A00J54  01,LTL / GRP / HUB,EUR,0.0,2238.0,>20000_HUB,2238.0
100732,MAROTRANS,,A0085W  01,A00J54  01,LTL / GRP / HUB,EUR,0.0,2160.0,>20000_HUB,2160.0
100733,SESE,,A0085W  01,A00FZ6  01,LTL / GRP / HUB,EUR,0.0,2113.0,>20000_HUB,2113.0
100734,GEFCO,,78001H  VE,99109B  01,LTL / GRP / HUB,EUR,0.0,1208.7,>20000_HUB,1208.7
100735,GEFCO,,90009K  TH,99109B  01,LTL / GRP / HUB,EUR,0.0,1695.79,>20000_HUB,1695.79
100736,GEFCO,,98120B  01,99109B  01,LTL / GRP / HUB,EUR,195.23534814944446,461.55741656249995,>20000_HUB,461.55741656249995
100737,GEFCO,,26805K  01,99109B  01,LTL / GRP / HUB,EUR,0.0,2817.71,>20000_HUB,2817.71
100738,GEFCO,,26805K  04,99109B  01,LTL / GRP / HUB,EUR,0.0,2448.96,>20000_HUB,2448.96
100739,GEFCO,,26697T  01,99109B  01,LTL / GRP / HUB,EUR,0.0,2727.08,>20000_HUB,2727.08
100740,GEFCO,,A0085W  01,99109B  01,LTL / GRP / HUB,EUR,0.0,4823.86,>20000_HUB,4823.86
100741,GEFCO,,78001H  CA,99109B  01,LTL / GRP / HUB,EUR,0.0,1656.38,>20000_HUB,1656.38
100742,GEFCO,,26846E  DF,99109B  01,LTL / GRP / HUB,EUR,0.0,1506.38,>20000_HUB,1506.38
100743,GEFCO,,78001H  MS,99109B  01,LTL / GRP / HUB,EUR,0.0,1185.87,>20000_HUB,1185.87
100744,GEFCO,,78001H  MU,99109B  01,LTL / GRP / HUB,EUR,0.0,1113.19,>20000_HUB,1113.19
100745,GEFCO,,78001H  PY,99109B  01,LTL / GRP / HUB,EUR,202.86707475125002,617.135623,>20000_HUB,617.135623
100746,GEFCO,,78001H  RJ,99109B  01,LTL / GRP / HUB,EUR,0.0,1811.58,>20000_HUB,1811.58
100747,GEFCO,,78001H  SX,99109B  01,LTL / GRP / HUB,EUR,0.0,1154.35,>20000_HUB,1154.35
100748,GEFCO,,78001H  MY,99109B  01,LTL / GRP / HUB,EUR,0.0,1208.7,>20000_HUB,1208.7
100749,GEFCO,,78001H  VA,99109B  01,LTL / GRP / HUB,EUR,0.0,1461.29,>20000_HUB,1461.29
100750,GEFCO,,A00AU2  02,99109B  01,LTL / GRP / HUB,EUR,0.0,1980.0,>20000_HUB,1980.0
100751,GEFCO,,26859U  06,99109B  01,LTL / GRP / HUB,EUR,0.0,1481.72,>20000_HUB,1481.72
100752,GEFCO,,78001H  VE,22342J  02,LTL / GRP / HUB,EUR,0.0,1083.06,>20000_HUB,1083.06
100753,GEFCO,,A009CN  02,22342J  02,LTL / GRP / HUB,EUR,0.0,1025.81,>20000_HUB,1025.81
100754,GEFCO,,A00ANR  01,22342J  02,LTL / GRP / HUB,EUR,0.0,346.15,>20000_HUB,346.15
100755,GEFCO,,A003Q7  04,22342J  02,LTL / GRP / HUB,EUR,0.0,764.52,>20000_HUB,764.52
100756,GEFCO,,A003Q7  01,22342J  02,LTL / GRP / HUB,EUR,0.0,866.13,>20000_HUB,866.13
100757,GEFCO,,A004IK  01,22342J  02,LTL / GRP / HUB,EUR,0.0,2228.09,>20000_HUB,2228.09
100758,GEFCO,,90009K  TH,22342J  02,LTL / GRP / HUB,EUR,0.0,1462.37,>20000_HUB,1462.37
100759,GEFCO,,98120B  01,22342J  02,LTL / GRP / HUB,EUR,0.0,133.33,>20000_HUB,133.33
100760,GEFCO,,26805K  01,22342J  02,LTL / GRP / HUB,EUR,0.0,2806.45,>20000_HUB,2806.45
100761,GEFCO,,26805K  04,22342J  02,LTL / GRP / HUB,EUR,0.0,2442.77,>20000_HUB,2442.77
100762,GEFCO,,26697T  01,22342J  02,LTL / GRP / HUB,EUR,0.0,2595.83,>20000_HUB,2595.83
100763,GEFCO,,A003Q7  02,22342J  02,LTL / GRP / HUB,EUR,0.0,909.68,>20000_HUB,909.68
